id,price_clean,high_price,split,property_type,neighbourhood_cleansed,latitude,longitude,accommodates,bedrooms,beds,bathrooms,distance_cbd_km,amenity_count,has_pool,has_free_parking,has_air_conditioning,has_kitchen,has_washer,has_dryer
1190148245782544717,172.0,0,train,Entire home,Maroondah,-37.7813377,145.2848151,2,1.0,1.0,1.0,28.494006896731854,38,0,1,1,1,0,0
1190148983182604783,795.37,1,train,Entire home,Yarra,-37.82839823709181,145.01162691534424,6,3.0,3.0,2.0,4.569018719913879,47,0,1,1,1,1,1
1190229220309457049,310.08,0,train,Entire home,Greater Dandenong,-37.95325,145.15041,8,3.0,5.0,2.0,22.613304395463565,52,0,1,0,1,1,1
1190806467468559489,259.5,0,train,Entire rental unit,Port Phillip,-37.8349052,144.9699958,2,1.0,1.0,1.0,2.445232490747903,41,0,1,1,1,1,1
1190854464662762756,159.07,0,train,Entire guesthouse,Knox,-37.8607766,145.3067653,3,2.0,1.0,1.0,30.63218777564531,39,0,0,1,1,1,1
1190987231529861932,321.5,0,train,Entire home,Casey,-38.13287,145.28969,8,3.0,5.0,2.0,45.6053649246332,43,0,1,1,1,1,1
1191137098949952687,268.5,0,train,Entire rental unit,Melbourne,-37.8084101,144.9607759,4,2.0,2.0,1.0,0.6121429984833391,48,1,0,1,1,1,1
1191159064835608003,422.0,1,train,Entire guesthouse,Yarra Ranges,-37.65486,145.48595,4,2.0,2.0,1.0,49.25075959662608,24,0,1,1,1,0,0
1191251341656919820,193.7,0,train,Entire rental unit,Melbourne,-37.8087435,144.961497,2,1.0,1.0,1.0,0.558077786967069,46,1,0,1,1,1,1
1191607723810407711,466.0,1,train,Entire home,Melton,-37.7256426,144.7432241,12,5.0,7.0,2.5,21.660365317310028,62,0,1,1,1,1,1
1191611688004471589,219.14,0,test,Entire home,Frankston,-38.0866703,145.1874265,6,3.0,4.0,2.0,36.178225278523996,52,0,1,1,1,1,0
1191614074661441398,163.85,0,test,Entire rental unit,Port Phillip,-37.86153994957844,144.99194003641605,2,1.0,1.0,1.0,5.901733537799183,28,0,1,1,1,1,0
1191644685305700548,325.0,0,train,Entire rental unit,Melbourne,-37.807505751394366,144.95953636351155,4,2.0,2.0,2.0,0.746469991790394,47,1,0,1,1,1,1
1191689440775153189,208.0,0,test,Entire rental unit,Melbourne,-37.81615,144.95273,9,2.0,6.0,2.0,0.9540484521102918,45,1,0,1,1,1,1
1191728636309894540,353.67,0,train,Entire home,Hume,-37.5834204,144.7287767,8,4.0,4.0,2.0,32.86521508048101,62,0,1,1,1,1,0
1191748462953503180,247.64,0,train,Entire rental unit,Port Phillip,-37.85662,144.96726,6,3.0,3.0,3.0,4.797542359830874,42,1,1,1,1,1,1
1191878307091502390,159.0,0,train,Entire rental unit,Port Phillip,-37.86554,144.97689,2,1.0,1.0,1.0,5.901059465860617,8,0,1,1,0,0,0
1191923777924829096,276.65,0,train,Entire rental unit,Yarra,-37.7837324526844,145.02627046125815,4,2.0,2.0,2.0,6.468088004178788,35,1,1,0,1,1,1
1192326105663607678,1057.0,1,train,Entire rental unit,Melbourne,-37.82151041722624,144.96617064215846,12,5.0,6.0,3.0,0.9200259225175824,51,1,1,1,1,1,1
1192442776854076391,856.5,1,train,Entire rental unit,Melbourne,-37.82490910536893,144.96632486137696,14,6.0,18.0,2.0,1.2890262912463883,46,1,1,1,1,1,1
1192502137883168560,133.0,0,train,Entire guesthouse,Hume,-37.67934,144.88993,2,1.0,1.0,1.0,16.256262590776245,4,0,0,0,0,0,0
1192585660705696159,359.33,0,test,Entire rental unit,Melbourne,-37.8102191,144.966267,5,2.0,2.0,1.0,0.4676883561559573,59,1,1,0,1,1,1
1192661655871259845,231.23,0,train,Entire rental unit,Melbourne,-37.80888301633457,144.9607276970788,5,2.0,2.0,1.0,0.5643910781719635,52,1,0,1,1,1,0
1193145663888590190,423.0,1,train,Entire rental unit,Port Phillip,-37.85791539144339,144.9791597922177,2,1.0,1.0,1.0,5.1255107703190514,45,0,1,1,1,1,0
1193185062842404574,287.29,0,train,Entire rental unit,Frankston,-38.1463218,145.1204902,4,1.0,2.0,1.0,39.485108197422,65,0,1,1,1,1,1
1193335491225262475,393.0,1,test,Entire rental unit,Moonee Valley,-37.7589768,144.9260001,8,3.0,5.0,1.0,6.89352354978144,58,0,1,1,1,1,1
1193385185355453105,270.0,0,train,Entire rental unit,Melbourne,-37.8231578,144.9639532,2,1.0,1.0,1.0,1.0654195167812268,43,0,0,1,1,1,1
1193391993767799961,516.67,1,train,Entire rental unit,Melbourne,-37.81218151572945,144.9433488696874,2,2.0,2.0,1.0,1.742212615341347,14,1,1,1,1,1,0
1193739404918447235,260.0,0,train,Entire rental unit,Melbourne,-37.816228,144.9532465,3,1.0,2.0,1.0,0.9135639664022374,50,1,1,1,1,1,1
1193794507824957604,249.5,0,test,Entire rental unit,Melbourne,-37.81022,144.96627,4,2.0,3.0,1.0,0.46776476262339417,38,1,1,0,1,1,0
1193863201528082252,421.0,1,test,Entire home,Wyndham,-37.8998591,144.7786224,10,5.0,6.0,3.0,18.823086145438445,56,0,1,1,1,1,1
1193899542989591094,348.0,0,train,Entire rental unit,Melbourne,-37.80438726260851,144.9641657872573,9,4.0,6.0,2.0,1.0286810213883808,40,1,1,1,1,1,1
1194157994006143252,278.86,0,train,Entire rental unit,Port Phillip,-37.84240453731915,144.9366771460327,4,2.0,3.0,2.5,3.9552763267884123,41,1,1,1,1,1,0
1194651042591272609,213.0,0,train,Entire rental unit,Boroondara,-37.83148782444034,145.05994711071253,3,2.0,2.0,1.0,8.735968785932164,50,0,1,1,1,1,0
1194666817103005255,266.25,0,train,Entire rental unit,Melbourne,-37.82812,144.95954,4,2.0,2.0,2.0,1.6445546678870955,45,1,1,1,1,1,0
1195203857604475594,210.0,0,train,Entire serviced apartment,Greater Dandenong,-37.9871413,145.2123053,2,1.0,1.0,1.0,29.163000505262705,14,0,0,1,1,1,0
1195223927007920792,185.0,0,train,Entire serviced apartment,Greater Dandenong,-37.9871413,145.2123053,2,,1.0,1.0,29.163000505262705,15,0,0,1,1,1,0
1195263242012975041,519.0,1,train,Entire home,Yarra Ranges,-37.75771,145.70974,4,2.0,4.0,1.0,65.90701576787674,41,0,1,1,1,1,1
1195333426482157272,381.0,0,train,Entire rental unit,Yarra,-37.810271603970214,145.00551603734493,10,4.0,4.0,4.5,3.7444632120703885,38,0,1,1,1,1,1
1195353126431842971,404.0,1,test,Entire rental unit,Port Phillip,-37.87468,144.97856,2,1.0,1.0,1.0,6.926135864841076,13,0,0,1,1,1,1
1195393934676735398,283.0,0,train,Entire home,Yarra Ranges,-37.78192,145.60886,4,2.0,2.0,2.0,56.84819878606389,41,0,1,1,1,1,1
1195436661915327660,602.5,1,train,Entire home,Cardinia,-38.06592355915287,145.470174071993,8,4.0,5.0,2.0,52.57920456181495,45,1,1,1,1,1,1
